rob_size,lq_size,sq_size,p_width,interval,performance,energy,Timestamp
512,256,64,9,16000000,0.38780216219742003,5.150053795876661,23557712
512,256,64,10,16000000,0.387015872188,5.282680712104115,23557712
512,256,16,10,16000000,0.3794529790382,5.203563380312953,23557712
512,256,64,11,16000000,0.39144111202774,5.474051525166919,23557712
512,128,128,9,16000000,0.38870641044908,5.155267393702883,23557712
128,128,256,6,16000000,0.4437446969322,5.231855282676667,23557712
256,4,128,4,16000000,0.7710263995486399,8.227178391713464,23557712
128,4,128,4,16000000,0.7710263995486399,8.191889916410801,23557712
256,16,16,10,16000000,0.37841353520157994,5.087282050838692,23557712
256,4,64,4,16000000,0.7710263995486399,8.216216328757064,23557712
256,16,256,7,16000000,0.37180968615958,4.671728075225626,24130031
256,16,256,5,16000000,0.45187186761636,5.227045183078882,24130031
